               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 141,             0.02222,            0.021097,            0.006748,             0.63322,              0.5426,             0.54162,             0.40749,            0.024923,            0.052215,            0.014686,             0.00307,             0.00307,             0.00307
                 142,            0.021811,             0.02034,           0.0066518,             0.68946,             0.50435,             0.53026,             0.40204,            0.024925,            0.052596,            0.015061,           0.0030205,           0.0030205,           0.0030205
                 143,            0.022057,            0.020624,           0.0068614,             0.73575,             0.49024,             0.53012,             0.40256,            0.024904,            0.052537,            0.015411,            0.002971,            0.002971,            0.002971
                 144,            0.021996,            0.019959,           0.0064732,             0.62627,             0.51271,             0.52969,             0.40636,             0.02491,             0.05279,            0.015091,           0.0029215,           0.0029215,           0.0029215
                 145,            0.022007,             0.02035,           0.0064904,             0.60365,             0.50852,             0.52623,              0.4039,            0.024866,            0.052899,            0.014742,            0.002872,            0.002872,            0.002872
                 146,            0.021571,            0.020064,           0.0062976,             0.70387,             0.49808,             0.52676,             0.40289,            0.024775,            0.052684,            0.015157,           0.0028225,           0.0028225,           0.0028225
                 147,            0.021954,            0.020002,           0.0066086,              0.6899,             0.52745,             0.54223,             0.40992,             0.02479,            0.052663,            0.014847,            0.002773,            0.002773,            0.002773
                 148,            0.021706,            0.020171,           0.0065513,             0.61498,             0.51432,             0.53528,             0.40735,            0.024809,            0.052942,            0.015417,           0.0027235,           0.0027235,           0.0027235
                 149,            0.021443,            0.020204,           0.0063649,             0.56588,             0.54989,             0.53324,             0.40411,              0.0248,            0.052895,            0.015293,            0.002674,            0.002674,            0.002674
                 150,            0.021552,             0.02034,           0.0065885,             0.68458,             0.52306,             0.53597,             0.40469,            0.024746,             0.05279,            0.015337,           0.0026245,           0.0026245,           0.0026245
                 151,            0.021414,             0.02078,           0.0064173,             0.68288,             0.51019,             0.53182,             0.40551,            0.024785,             0.05302,            0.015134,            0.002575,            0.002575,            0.002575
                 152,            0.021437,            0.020174,           0.0063363,             0.70168,             0.49433,              0.5309,             0.40699,            0.024782,             0.05291,            0.014936,           0.0025255,           0.0025255,           0.0025255
                 153,            0.021458,            0.020134,           0.0064096,             0.71672,             0.50004,             0.52574,             0.40215,            0.024817,            0.052936,            0.015305,            0.002476,            0.002476,            0.002476
                 154,            0.021271,            0.019519,           0.0064892,             0.59099,              0.5347,             0.53088,             0.40681,            0.024826,            0.052835,            0.015041,           0.0024265,           0.0024265,           0.0024265
                 155,            0.021151,            0.019406,           0.0062239,             0.61742,             0.53112,             0.53401,             0.40848,            0.024856,            0.053189,            0.015112,            0.002377,            0.002377,            0.002377
                 156,            0.021308,            0.019931,           0.0063763,             0.62172,             0.53266,             0.53621,             0.40712,            0.024783,            0.052844,            0.015371,           0.0023275,           0.0023275,           0.0023275
